University,Course,Min_APS,Min_Avg,Req_Math,Req_Science
University of Cape Town (UCT),Bachelor of Science (BSc),38,75,60,60
University of Cape Town (UCT),Bachelor of Commerce (BCom),36,70,50,0
University of Cape Town (UCT),Bachelor of Laws (LLB),42,85,0,0
University of Cape Town (UCT),Bachelor of Medicine (MBChB),44,90,80,80
University of Cape Town (UCT),Bachelor of Engineering (BEng),40,80,80,70
University of Cape Town (UCT),BSc Computer Science,39,78,75,0
University of Cape Town (UCT),BSc Actuarial Science,43,88,90,0
University of Cape Town (UCT),BCom Finance,38,75,70,0
University of Cape Town (UCT),BCom Economics,37,72,65,0
University of Cape Town (UCT),Bachelor of Architecture,38,75,60,0
University of the Witwatersrand (Wits),Bachelor of Science (BSc),36,70,60,60
University of the Witwatersrand (Wits),Bachelor of Commerce (BCom),34,65,50,0
University of the Witwatersrand (Wits),Bachelor of Laws (LLB),40,80,0,0
University of the Witwatersrand (Wits),Bachelor of Medicine (MBChB),43,88,80,80
University of the Witwatersrand (Wits),Bachelor of Engineering (BEng),38,75,80,70
University of the Witwatersrand (Wits),BSc Computer Science,37,72,75,0
University of the Witwatersrand (Wits),BSc Information Systems,35,68,65,0
University of the Witwatersrand (Wits),BCom Accounting,36,70,65,0
University of the Witwatersrand (Wits),BCom Marketing,32,60,0,0
University of the Witwatersrand (Wits),Bachelor of Education,30,55,0,0
University of Pretoria (UP),Bachelor of Science (BSc),35,68,60,60
University of Pretoria (UP),Bachelor of Commerce (BCom),33,65,50,0
University of Pretoria (UP),Bachelor of Laws (LLB),38,75,0,0
University of Pretoria (UP),Bachelor of Medicine (MBChB),42,85,80,80
University of Pretoria (UP),Bachelor of Engineering (BEng),38,75,75,65
University of Pretoria (UP),BSc Computer Science,36,70,70,0
University of Pretoria (UP),BCom Financial Management,34,66,65,0
University of Pretoria (UP),BCom Human Resource Management,31,60,0,0
University of Pretoria (UP),Bachelor of Education,29,55,0,0
University of Pretoria (UP),BSc Veterinary Science,40,80,70,70
Stellenbosch University,Bachelor of Science (BSc),36,70,60,60
Stellenbosch University,Bachelor of Commerce (BCom),34,66,50,0
Stellenbosch University,Bachelor of Laws (LLB),39,78,0,0
Stellenbosch University,Bachelor of Medicine (MBChB),43,87,80,80
Stellenbosch University,Bachelor of Engineering (BEng),38,76,75,70
Stellenbosch University,BSc Computer Science,37,72,70,0
